name,year,pop_n,pop_u,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u
Saint Vincent and the Grenadines,2015,109.1350021,50.96399689,95.1452199,0,4.070093703,0.784686397,null,null,null,null,null,null,null,null
Saint Vincent and the Grenadines,2018,110.2099991,52.19799805,95.1452199,0,4.8547801,null,null,null,null,null,null,null,null,null
Albania,2020,2877.800049,62.11199951,95.06803883,1.884656092,3.047305081,0,94.09135806,2.305264955,3.603376986,0,95.66380912,1.62808683,2.708104054,0
Kazakhstan,2015,17572.00977,57.19100189,95.02533441,1.812908425,2.904392652,0.257364511,90.74749784,1.86677185,6.784537749,0.601192556,98.22740979,1.772590206,0,0
Tunisia,2015,11179.95117,68.05599976,94.8454551,2.900100393,2.179103077,0.075341425,85.59067297,7.6364837,6.53698864,0.235854691,99.18944794,0.676945398,0.133606666,0
Falkland Islands (Malvinas),2015,2.835999966,76.26800537,94.82000666,0,5.179993343,0,78.17294282,0,21.82705718,0,100,0,0,0
Venezuela (Bolivarian Republic of),2015,30081.82617,88.15399933,94.57127501,0.475232538,3.575264261,1.378228192,null,null,null,null,null,null,null,null
Algeria,2020,43851.04297,73.73300171,94.43732996,4.985880842,0.531836664,0.044952533,90.03753791,8.79672214,0.994603028,0.171136926,96.00473586,3.628288591,0.366975548,0
Panama,2020,4314.768066,68.41400146,94.37254436,1.873480592,2.262304247,1.491670799,86.32308326,1.791982583,7.162364342,4.722569811,98.08889267,1.911107333,0,0
Turks and Caicos Islands,2015,35.97900009,92.19499207,94.31818182,0,5.681818182,0,null,null,null,null,null,null,null,null
Turks and Caicos Islands,2018,37.66699982,93.09799957,94.31818182,0,5.681818182,0,null,null,null,null,null,null,null,null
Fiji,2020,896.4439697,57.24700546,94.30106524,0,3.318602766,2.380331999,89.08802405,0,5.759897938,5.152078012,98.19424406,0,1.495409344,0.310346592
Fiji,2015,868.632019,54.72599792,94.26255867,0,3.419365936,2.318075395,89.37852739,0,5.829467811,4.792004795,98.30304467,0,1.425524712,0.271430614
China,2020,1463140.5,61.71308899,94.26111059,0.81472133,4.725451938,0.198716144,89.66123351,1.832679086,8.506087409,0,97.11488267,0.183178493,2.37993884,0.322
Iraq,2015,35572.26953,69.92099762,94.2475933,1.056676215,1.737911036,2.95781945,84.76271011,2.830616935,2.77640479,9.630268161,98.3278526,0.293552623,1.291166071,0.087428702
Channel Islands,2015,165.3869934,30.96199799,94.15,0,5.85,0,null,null,null,null,null,null,null,null
Channel Islands,2017,168.6660004,30.91399956,94.15,0,5.85,0,null,null,null,null,null,null,null,null
Philippines,2020,109581.0859,47.40799713,94.10903456,2.856486137,3.034479307,0,91.06193322,3.959520428,4.978546347,0,97.4893325,1.632836465,0.877831036,0
Guatemala,2020,17915.56641,51.83599854,94.00642827,1.034150511,3.215911815,1.743509404,90.1193298,1.849169999,4.583438691,3.448061508,97.61816944,0.276866006,1.94525887,0.159705685
Ukraine,2020,43733.75781,69.60800171,93.92828195,5.671978717,0.075904501,0.323834836,100,0,0,0,91.27727011,8.14845779,0.109045653,0.465226445
Syrian Arab Republic,2020,17500.65625,55.47500229,93.92585718,5.873730768,0.200412054,0,92.082745,7.917255,0,0,95.40516436,4.233570117,0.361265525,0
South Africa,2020,59308.69141,67.35400391,93.88505744,2.772736186,1.410816657,1.931389712,83.32948118,6.977359359,3.776999287,5.916160173,99.00126484,0.734785403,0.263949755,0
Democratic People's Republic of Korea,2020,25778.81445,62.38100052,93.84384303,0.683131187,5.20969278,0.263333006,88.75362488,0.356440261,10.18993486,0.7,96.91351044,0.88014288,2.206346677,0
French Guiana,2020,298.6820068,85.81999969,93.78221635,0,6.217783652,0,null,null,null,null,null,null,null,null
Venezuela (Bolivarian Republic of),2020,28435.94336,88.27899933,93.68580071,0.470782918,5.843416373,null,null,null,null,null,null,null,null,null
Ukraine,2015,44921.63672,69.06100464,93.65690669,5.630873723,0.436456349,0.27576324,98.84311161,0,0.944405312,0.212483082,91.33350853,8.153478277,0.208900756,0.304112441
French Guiana,2015,261.0079956,84.48200226,93.56205657,0,6.437943425,0,null,null,null,null,null,null,null,null
Syrian Arab Republic,2015,17997.41016,52.16799927,93.50961148,5.968083628,0.522304888,0,91.3857051,7.857323656,0.756971244,0,95.45698719,4.235869737,0.30714307,0
Algeria,2015,39728.01953,70.84799957,93.40956153,5.157780893,1.275464684,0.157192891,88.35270686,8.685753121,2.580431801,0.381108216,95.4903147,3.706117317,0.738510085,0.065057898
Albania,2015,2890.523926,57.43399811,93.39432534,3.626383658,2.979291004,0,90.62727461,5.263172648,4.109552744,0,95.44506696,2.41331182,2.141621216,0
Bolivia (Plurinational State of),2020,11673.0293,70.1230011,93.39007163,0.13659053,1.575010843,4.898326997,79.93664283,0.244736408,3.954133693,15.86448707,99.12211832,0.090513289,0.561345381,0.226023011
Serbia,2015,8876.777344,55.69599915,93.3864573,6.112096052,0.483543634,0.017903016,94.72352905,4.600438201,0.635623269,0.040409478,92.32286869,7.314561109,0.362570197,0
Viet Nam,2015,92677.07813,33.80900192,93.32806058,0.052071838,6.163618036,0.456249546,90.83306799,0,8.477639565,0.689292443,98.21274352,0.154017681,1.633238796,0
Honduras,2015,9112.904297,55.1649971,93.25441071,0.431754107,6.022156156,0.291679028,86.43707375,0.775844105,12.14597638,0.641105767,98.79516268,0.152097161,1.04505549,0.007684674
Peru,2020,32971.84766,78.2970047,93.13936621,0.849559351,4.150468349,1.860606087,80.79943849,1.596943771,9.612691163,7.990926578,96.55984408,0.642393236,2.636408693,0.161353995
Ecuador,2015,16212.02246,63.39799881,93.0637795,0.199760176,3.119565114,3.616895212,82.55248195,0.445629255,7.379055031,9.62283376,99.1323392,0.05781089,0.660404507,0.149445407
Panama,2015,3968.48999,66.69599915,92.90436561,1.845644171,3.160016841,2.08997338,83.67957953,1.737106037,8.379298168,6.20401626,97.51067739,1.899841721,0.553814839,0.035666046
Lebanon,2020,6825.441895,88.92499542,92.6,7.4,0,0,null,null,null,null,null,null,null,null
Azerbaijan,2015,9622.741211,54.7140007,92.42031398,1.002242415,4.365089522,2.21235408,84.14321327,2.213139731,8.988206006,4.655440992,99.27115203,0,0.538602035,0.190245934
Indonesia,2020,273523.625,56.64099884,92.41534961,0.855474634,5.553871666,1.175304087,85.66796238,1.17809123,10.61491462,2.539031772,97.58051207,0.608509835,1.679615139,0.131362959
Sri Lanka,2020,21413.25,18.71299934,92.22757937,0.59545815,5.348927064,1.82803542,90.5374357,0.703209904,6.510488612,2.248865782,99.56938019,0.12739779,0.30322202,0
Botswana,2020,2351.625,70.8769989,92.21356307,4.72303897,1.732526476,1.330871481,79.04372386,15.15494718,1.596119156,4.20520981,97.62498058,0.436620032,1.788579159,0.149820228
Oman,2020,5106.62207,86.27599335,92.16802469,7.541419893,0.260405204,0.030150217,76.25077991,21.63212113,1.897409218,0.219689738,94.7,5.3,0,0
Guatemala,2015,16252.4248,49.97100067,92.13403385,0.968451749,4.765261087,2.132253313,87.24275618,1.650901287,7.052091828,4.054250709,97.03098891,0.28521008,2.475775984,0.208025023
Philippines,2015,102113.2031,46.2840004,92.01770102,2.920429319,4.532138462,0.529731194,88.20816233,3.825892542,7.111213037,0.854732094,96.43895214,1.869572353,1.538931873,0.152543639
South Africa,2015,55386.36719,64.82800293,91.87634387,2.803155965,2.078820804,3.241679359,79.03373853,6.61766745,5.131945818,9.216648202,98.84401345,0.733618286,0.42236826,0
Samoa,2020,198.4100037,17.88899994,91.83772455,6.520899952,1.418623428,0.222752068,91.78032287,6.220703339,1.72769216,0.271281633,92.10119,7.89881,0,0
China,2015,1430405.375,55.85270691,91.76264123,0.818762662,6.782077407,0.636518701,84.47918792,1.51186307,12.95294901,1.056,97.51965397,0.270919804,1.90447541,0.30495082
Kyrgyzstan,2020,6524.190918,36.85599899,91.69930522,1.900734111,1.8656487,4.534311965,87.258429,2.606070485,2.954593684,7.180906832,99.30769231,0.692307692,0,0
Saint Pierre and Miquelon,2020,5.795000076,89.96199799,91.4,0,8.6,0,null,null,null,null,null,null,null,null
Saint Pierre and Miquelon,2015,5.992000103,89.88899994,91.4,0,8.6,0,null,null,null,null,null,null,null,null
Samoa,2015,193.5099945,18.91400146,91.32139736,6.499281296,1.929815904,0.249505441,91.38641565,6.194005024,2.148529534,0.271049796,91.04264868,7.808027061,0.992181402,0.157142857
Vanuatu,2020,307.1499939,25.52500153,91.23119075,1.06238505,0,7.706424202,88.39720123,1.255132675,0,10.3476661,99.5,0.5,0,0
Lebanon,2015,6532.681152,88.10600281,91.22432251,7.29006465,1.34019284,0.14542,null,null,null,null,null,null,null,null
Jamaica,2020,2961.160889,56.31100082,91.0299445,5.367570914,1.864010203,1.738474379,85.39991216,8.490737371,2.568971895,3.540378574,95.39801591,2.944456223,1.317064322,0.34046355
Republic of Moldova,2020,4033.962891,42.84900284,90.56996224,1.519776762,7.910260997,0,85.48103812,1.52256302,12.99639886,0,97.35744448,1.516060408,1.126495111,0
India,2020,1380004.375,34.9260025,90.48952503,4.983602562,3.963153945,0.563718463,88.78250313,5.902210054,4.57637573,0.738911086,93.6700363,3.272056027,2.820607523,0.237300154
Bolivia (Plurinational State of),2015,10869.73242,68.39299774,90.46214101,0.172898398,2.832457169,6.532503425,73.7401802,0.339968784,5.911800536,20.00805048,98.18999708,0.095688834,1.40937247,0.304941615
Jamaica,2015,2891.023926,54.833004,90.41679629,5.407336603,2.169821217,2.006045893,84.5007099,8.401335753,3.055395678,4.042558671,95.28999024,2.941122015,1.440356529,0.328531215
Morocco,2020,36910.55859,63.53199768,90.40234468,5.263549601,2.8776725,1.456433219,77.34612896,12.03707816,6.623063373,3.993729502,97.89674601,1.375477117,0.727776876,0
Peru,2015,30470.73828,77.35700226,90.28200304,0.932583472,5.763626055,3.021787439,73.28762384,1.523040337,12.99206766,12.19726817,95.25638702,0.75975209,3.647808558,0.336052329
Oman,2015,4267.34082,81.34999847,90.23848564,8.208802788,1.473142599,0.079568975,74.36690846,21.09767236,4.386731832,0.148687351,93.87714508,5.253947929,0.805183842,0.06372315
Pakistan,2020,220892.3281,37.16500092,90.14896508,3.822279525,4.413307574,1.61544782,88.59986076,3.852278117,5.174596509,2.373264617,92.76804985,3.771561162,3.126184571,0.334204422
Sri Lanka,2015,20908.02344,18.25600052,90.11102857,0.912801294,6.761522893,2.214647247,88.25710614,1.016290258,8.017356135,2.709247463,98.41224652,0.449413809,1.138339672,0
Nepal,2020,29136.80859,20.57600021,90.07454179,3.979825725,4.699081176,1.246551314,90.20327165,4.207348246,4.269023951,1.320356149,89.57763316,3.101581411,6.359123168,0.961662259
Vanuatu,2015,271.1279907,24.96100235,89.98817649,1.05094321,1.545004807,7.415875488,86.97805066,1.234982464,1.904272063,9.882694813,99.03735599,0.497675156,0.464968853,0
